symbol,timestamp,open,high,low,close,volume
BTCEUR,2025-08-02,97872.00000000,98600.00000000,96783.63000000,97212.40000000,238.66135000
BTCEUR,2025-08-03,97216.47000000,99300.00000000,96668.67000000,98650.03000000,195.31862000
BTCEUR,2025-08-04,98657.10000000,100067.71000000,98495.36000000,99362.74000000,267.79738000
BTCEUR,2025-08-05,99367.71000000,99757.73000000,97399.00000000,98578.76000000,248.29163000
BTCEUR,2025-08-06,98585.68000000,99317.88000000,97775.07000000,98646.77000000,179.23456000
BTCEUR,2025-08-07,98646.00000000,100939.39000000,97948.21000000,100614.65000000,272.01781000
BTCEUR,2025-08-08,100611.47000000,100839.64000000,99378.77000000,100109.19000000,187.07361000
BTCEUR,2025-08-09,100109.20000000,100999.00000000,99534.75000000,99632.67000000,186.25036000
BTCEUR,2025-08-10,99632.66000000,102230.74000000,99615.36000000,102209.55000000,234.53754000
BTCEUR,2025-08-11,102211.20000000,104717.27000000,101650.00000000,102185.04000000,602.48555000
BTCEUR,2025-08-12,102179.07000000,102966.56000000,101774.20000000,102763.50000000,362.49813000
BTCEUR,2025-08-13,102761.28000000,105000.00000000,101701.00000000,104798.96000000,555.18801000
BTCEUR,2025-08-14,104798.96000000,105733.49000000,100690.00000000,101627.64000000,831.67083000
BTCEUR,2025-08-15,101627.63000000,102344.66000000,99894.58000000,100428.27000000,360.07728000
BTCEUR,2025-08-16,100420.31000000,100913.78000000,100269.53000000,100516.61000000,109.16975000
BTCEUR,2025-08-17,100516.61000000,101491.11000000,100311.92000000,100373.92000000,130.28707000
BTCEUR,2025-08-18,100379.05000000,100528.11000000,98200.01000000,99678.28000000,421.55617000
BTCEUR,2025-08-19,99683.95000000,100159.22000000,96830.60000000,96960.73000000,350.98033000
BTCEUR,2025-08-20,96951.21000000,98376.62000000,96407.33000000,98111.79000000,255.40785000
BTCEUR,2025-08-21,98106.88000000,98593.23000000,96500.15000000,96849.87000000,207.77559000
BTCEUR,2025-08-22,96852.69000000,100133.99000000,96189.59000000,99145.16000000,412.49443000
BTCEUR,2025-08-23,99145.17000000,99229.00000000,97211.96000000,97892.79000000,139.34273000
BTCEUR,2025-08-24,97883.05000000,98157.89000000,94160.00000000,96796.27000000,303.40058000
BTCEUR,2025-08-25,96797.77000000,97098.89000000,94117.73000000,94874.98000000,451.27867000
BTCEUR,2025-08-26,94873.16000000,96557.32000000,93375.20000000,96062.46000000,396.12074000
BTCEUR,2025-08-27,96059.78000000,97199.91000000,95253.96000000,95531.51000000,244.21277000
BTCEUR,2025-08-28,95531.51000000,97395.18000000,95227.78000000,96386.74000000,201.63502000
BTCEUR,2025-08-29,96370.79000000,96466.91000000,92039.56000000,92818.56000000,348.83884000
BTCEUR,2025-08-30,92827.69000000,93314.19000000,91976.60000000,93206.97000000,114.77802000
BTCEUR,2025-08-31,93206.97000000,93760.52000000,92484.02000000,92617.19000000,112.73000000
BTCEUR,2025-09-01,92614.07000000,93728.00000000,91623.52000000,93272.38000000,247.26262000
BTCEUR,2025-09-02,93273.70000000,95820.29000000,93030.30000000,95584.32000000,269.23606000
BTCEUR,2025-09-03,95586.33000000,96521.00000000,95037.24000000,95840.31000000,165.99676000
BTCEUR,2025-09-04,95831.85000000,96265.31000000,93970.02000000,95019.87000000,202.91317000
BTCEUR,2025-09-05,95015.46000000,96811.50000000,94020.92000000,94495.17000000,354.09181000
BTCEUR,2025-09-06,94499.89000000,95037.23000000,93933.01000000,94128.07000000,65.70765000
BTCEUR,2025-09-07,94128.07000000,95316.78000000,94114.82000000,94899.29000000,68.54871000
BTCEUR,2025-09-08,94892.32000000,96109.71000000,94467.94000000,95242.69000000,149.16340000
BTCEUR,2025-09-09,95236.40000000,96288.74000000,94405.96000000,95319.63000000,239.07145000
BTCEUR,2025-09-10,95326.02000000,97539.54000000,94829.19000000,97368.09000000,279.39020000
BTCEUR,2025-09-11,97368.09000000,98462.56000000,96769.07000000,98457.63000000,210.45693000
BTCEUR,2025-09-12,98457.64000000,99514.56000000,97950.00000000,98839.63000000,227.82924000
BTCEUR,2025-09-13,98843.54000000,99037.24000000,97827.17000000,98527.66000000,116.25853000
BTCEUR,2025-09-14,98524.60000000,98926.32000000,97888.63000000,98344.32000000,132.74450000
BTCEUR,2025-09-15,98338.80000000,99569.75000000,97235.70000000,98098.92000000,205.65667000
BTCEUR,2025-09-16,98093.54000000,98654.76000000,97051.44000000,98436.96000000,170.87178000
BTCEUR,2025-09-17,98437.32000000,99094.30000000,96750.00000000,98475.16000000,329.42967000
BTCEUR,2025-09-18,98478.24000000,100109.27000000,98232.04000000,99332.79000000,266.03053000
BTCEUR,2025-09-19,99348.48000000,99727.00000000,98063.01000000,98569.20000000,162.95456000
BTCEUR,2025-09-20,98568.33000000,99000.00000000,98384.89000000,98633.84000000,53.85511000
BTCEUR,2025-09-21,98633.85000000,98710.24000000,98169.01000000,98264.48000000,67.90774000
BTCEUR,2025-09-22,98254.70000000,98421.81000000,94997.77000000,95584.95000000,399.63280000
BTCEUR,2025-09-23,95581.13000000,96102.36000000,94446.18000000,94848.08000000,183.98685000
BTCEUR,2025-09-24,94848.08000000,97156.32000000,94188.53000000,96551.97000000,195.75057000
BTCEUR,2025-09-25,96557.10000000,96719.99000000,93239.79000000,93524.64000000,361.24547000
BTCEUR,2025-09-26,93524.34000000,94390.33000000,93108.03000000,93824.89000000,261.24537000
BTCEUR,2025-09-27,93824.75000000,93900.10000000,93340.01000000,93830.45000000,85.92199000
BTCEUR,2025-09-28,93830.45000000,96061.05000000,93420.69000000,95910.40000000,130.89395000
BTCEUR,2025-09-29,95919.27000000,97632.64000000,95175.09000000,97511.13000000,244.39069000
BTCEUR,2025-09-30,97510.49000000,97996.03000000,95929.69000000,97204.85000000,230.81392000
BTCEUR,2025-10-01,97205.68000000,101087.45000000,97116.70000000,101051.02000000,688.01272000
BTCEUR,2025-10-02,101056.02000000,103188.00000000,100710.61000000,102783.86000000,433.16128000
BTCEUR,2025-10-03,102786.02000000,105376.84000000,101497.54000000,104017.50000000,512.13968000
BTCEUR,2025-10-04,104020.86000000,104529.40000000,103100.01000000,103993.17000000,176.23209000
BTCEUR,2025-10-05,103993.16000000,106355.75000000,103538.00000000,105024.66000000,433.97844000
ETHEUR,2021-01-01,603.25000000,611.00000000,588.16000000,598.37000000,17999.46492000
ETHEUR,2021-01-02,598.60000000,639.00000000,570.37000000,623.61000000,37803.02913000
ETHEUR,2021-01-03,623.89000000,799.00000000,617.08000000,775.83000000,78259.51690000
ETHEUR,2021-01-04,776.86000000,906.88000000,725.00000000,847.61000000,118278.81836000
ETHEUR,2021-01-05,847.64000000,916.48000000,794.58000000,895.50000000,86946.31547000
ETHEUR,2021-01-06,895.50000000,987.00000000,862.48000000,980.49000000,77973.52980000
ETHEUR,2021-01-07,980.49000000,1050.10000000,930.28000000,994.35000000,78292.32639000
ETHEUR,2021-01-08,995.71000000,1040.00000000,870.14000000,989.81000000,84753.45183000
ETHEUR,2021-01-09,990.15000000,1052.00000000,956.66000000,1023.82000000,48831.41103000
ETHEUR,2021-01-10,1023.76000000,1082.20000000,905.30000000,1014.72000000,73996.65111000
ETHEUR,2021-01-11,1014.81000000,1019.17000000,750.99000000,896.32000000,186688.47540000
ETHEUR,2021-01-12,895.51000000,948.81000000,829.00000000,861.63000000,98939.13696000
ETHEUR,2021-01-13,861.88000000,936.86000000,810.00000000,929.71000000,69366.03578000
ETHEUR,2021-01-14,930.06000000,1026.34000000,897.24000000,1012.16000000,80471.16675000
ETHEUR,2021-01-15,1012.21000000,1034.74000000,886.22000000,968.82000000,92696.48813000
ETHEUR,2021-01-16,968.73000000,1068.89000000,955.18000000,1017.78000000,56407.89389000
ETHEUR,2021-01-17,1017.95000000,1047.34000000,968.39000000,1020.25000000,44877.16573000
ETHEUR,2021-01-18,1019.31000000,1043.59000000,981.75000000,1041.79000000,36931.73355000
ETHEUR,2021-01-19,1041.97000000,1190.09000000,1036.05000000,1130.97000000,92107.09654000
ETHEUR,2021-01-20,1130.64000000,1163.11000000,1022.00000000,1137.98000000,87706.22819000
ETHEUR,2021-01-21,1137.46000000,1147.76000000,894.00000000,914.37000000,114557.83231000
ETHEUR,2021-01-22,913.79000000,1050.00000000,855.00000000,1014.06000000,103027.01787000
ETHEUR,2021-01-23,1013.94000000,1048.13000000,986.57000000,1015.49000000,50716.84438000
ETHEUR,2021-01-24,1015.49000000,1150.24000000,1005.22000000,1145.66000000,61072.01442000
ETHEUR,2021-01-25,1145.76000000,1210.88000000,1070.01000000,1088.77000000,80310.60219000
ETHEUR,2021-01-26,1088.28000000,1137.62000000,1025.96000000,1124.10000000,71169.65408000
ETHEUR,2021-01-27,1124.43000000,1131.15000000,1001.96000000,1027.05000000,85526.87226000
ETHEUR,2021-01-28,1026.98000000,1123.62000000,1010.65000000,1099.55000000,61559.27552000
ETHEUR,2021-01-29,1099.49000000,1183.00000000,1065.00000000,1138.04000000,90711.27855000
ETHEUR,2021-01-30,1138.66000000,1160.05000000,1096.40000000,1137.66000000,37651.85289000
ETHEUR,2021-01-31,1137.60000000,1139.01000000,1060.53000000,1085.27000000,34644.21569000
ETHEUR,2021-02-01,1085.18000000,1141.90000000,1050.57000000,1140.02000000,39364.91959000
ETHEUR,2021-02-02,1140.02000000,1286.88000000,1128.11000000,1256.51000000,90496.09976000
ETHEUR,2021-02-03,1256.65000000,1389.70000000,1252.83000000,1384.91000000,80157.73387000
ETHEUR,2021-02-04,1385.10000000,1410.98000000,1300.00000000,1336.46000000,81736.75570000
ETHEUR,2021-02-05,1336.44000000,1469.48000000,1332.83000000,1430.54000000,73716.78899000
ETHEUR,2021-02-06,1431.13000000,1449.87000000,1367.76000000,1395.46000000,53474.24723000
ETHEUR,2021-02-07,1395.60000000,1409.44000000,1240.19000000,1341.95000000,74409.73540000
